RepDate,SPName,Capacity,Enrollment,Waitlist,Vacancy
31/12/2021,(ADH) St Andrew's Adult Home (Sengkang),148,20,18,128
28/2/2021,(ADH) MINDSVille @ Napiri,160,115,27,45
28/2/2021,(ADH) Red Cross Home for the Disabled,100,95,5,5
28/2/2021,(ADH) Singapore Cheshire Home,90,73,7,17
28/2/2021,(ADH) St Andrew's Adult Home (Sengkang),148,21,16,127
28/2/2021,(ADH) THK Home for Disabled @ Sembawang,180,123,35,57
31/3/2021,(ADH) Blue Cross Thong Kheng Home,116,91,5,25
31/3/2021,(ADH) Metta Home for the Disabled,103,86,2,17
31/3/2021,(ADH) St Andrew's Adult Home (Sengkang),148,21,15,127
30/4/2021,(ADH) Blue Cross Thong Kheng Home,116,91,7,25
30/4/2021,(ADH) Red Cross Home for the Disabled,100,95,6,5
30/4/2021,(ADH) Singapore Cheshire Home,90,73,6,17
30/4/2021,(ADH) St Andrew's Adult Home (Sengkang),148,21,15,127
30/4/2021,(ADH) THK Home for the Disabled @ Chai Chee,102,95,13,7
30/4/2021,(ADH) THK Home for the Disabled @ Eunos,88,81,14,7
30/4/2021,(ADH) THK Home for Disabled @ Sembawang,180,123,29,57
31/5/2021,(ADH) Blue Cross Thong Kheng Home,116,90,9,26
31/5/2021,(ADH) Singapore Cheshire Home,90,72,5,18
30/6/2021,(ADH) Metta Home for the Disabled,103,86,5,17
30/6/2021,(ADH) Bishan Home for the Intellectually Disabled,132,123,2,9
30/6/2021,(ADH) Blue Cross Thong Kheng Home,116,90,9,26
30/6/2021,(ADH) MINDSVille @ Napiri,160,116,31,44
30/6/2021,(ADH) Red Cross Home for the Disabled,100,96,7,4
30/6/2021,(ADH) Singapore Cheshire Home,90,72,8,18
30/6/2021,(ADH) THK Home for Disabled @ Sembawang,180,124,30,56
31/7/2021,(ADH) Bishan Home for the Intellectually Disabled,132,123,2,9
31/7/2021,(ADH) Singapore Cheshire Home,90,72,8,18
30/7/2021,(ADH) THK Home for the Disabled @ Chai Chee,102,97,11,5
31/8/2021,(ADH) Red Cross Home for the Disabled,100,96,10,4
30/9/2021,(ADH) Bishan Home for the Intellectually Disabled,132,124,3,8
30/9/2021,(ADH) Blue Cross Thong Kheng Home,116,88,13,28
30/9/2021,(ADH) MINDSVille @ Napiri,160,116,36,44
30/9/2021,(ADH) Red Cross Home for the Disabled,100,96,9,4
30/9/2021,(ADH) Singapore Cheshire Home,90,73,5,17
31/1/2022,(ADH) MINDSVille @ Napiri,160,116,34,44
31/1/2022,(ADH) Red Cross Home for the Disabled,100,86,13,14
31/1/2022,(ADH) Singapore Cheshire Home,90,74,5,16
31/1/2022,(ADH) THK Home for the Disabled @ Chai Chee,102,96,17,6
31/10/2017,(Hostel) THK Home for the Disabled @ Eunos,40,42,20,-2
31/10/2017,(Hostel) MINDSVille @ Napiri,60,50,5,10
31/10/2017,(Hostel) Touch Ubi Hostel,30,29,3,1
30/11/2017,(Hostel) THK Home for the Disabled @ Eunos,40,42,21,-2
30/11/2017,(Hostel) MINDSVille @ Napiri,60,51,4,9
30/11/2017,(Hostel) Touch Ubi Hostel,30,29,3,1
31/12/2017,(Hostel) THK Home for the Disabled @ Eunos,40,43,20,-3
31/12/2017,(Hostel) MINDSVille @ Napiri,60,52,7,8
31/12/2017,(Hostel) Touch Ubi Hostel,30,30,3,0
31/7/2017,(Hostel) MINDSVille @ Napiri,60,51,4,9
31/7/2017,(Hostel) THK Home for the Disabled @ Eunos,40,39,15,1
31/7/2017,(Hostel) Touch Ubi Hostel,30,28,1,2
31/8/2017,(Hostel) THK Home for the Disabled @ Eunos,40,42,17,-2
31/8/2017,(Hostel) MINDSVille @ Napiri,60,54,3,6
31/8/2017,(Hostel) Touch Ubi Hostel,30,28,3,2
30/9/2017,(Hostel) THK Home for the Disabled @ Eunos,40,41,17,-1
30/9/2017,(Hostel) MINDSVille @ Napiri,60,52,4,8
30/9/2017,(Hostel) Touch Ubi Hostel,30,28,3,2
31/1/2018,(Hostel) Touch Ubi Hostel,30,29,3,1
31/1/2018,(Hostel) MINDSVille @ Napiri,60,48,6,12
31/1/2018,(Hostel) THK Home for the Disabled @ Eunos,40,40,17,0
31/10/2018,(Hostel) THK Home for the Disabled @ Eunos,40,38,21,2
30/11/2018,(Hostel) THK Home for the Disabled @ Eunos,40,38,19,2
31/12/2018,(Hostel) MINDSVille @ Napiri,60,50,12,10
31/12/2018,(Hostel) THK Home for the Disabled @ Eunos,40,37,19,3
28/2/2018,(Hostel) Touch Ubi Hostel,30,30,3,0
28/2/2018,(Hostel) MINDSVille @ Napiri,60,49,8,11
28/2/2018,(Hostel) THK Home for the Disabled @ Eunos,40,39,17,1
31/3/2018,(Hostel) MINDSVille @ Napiri,60,49,7,11
31/3/2018,(Hostel) Touch Ubi Hostel,30,30,3,0
30/4/2018,(Hostel) THK Home for the Disabled @ Eunos,40,38,18,2
31/5/2018,(Hostel) Touch Ubi Hostel,30,30,4,0
31/5/2018,(Hostel) MINDSVille @ Napiri,60,49,7,11
31/5/2018,(Hostel) THK Home for the Disabled @ Eunos,40,37,28,3
30/6/2018,(Hostel) MINDSVille @ Napiri,60,49,7,11
31/7/2018,(Hostel) MINDSVille @ Napiri,60,50,11,10
30/8/2018,(Hostel) THK Home for the Disabled @ Eunos,40,38,23,2
30/8/2018,(Hostel) Touch Ubi Hostel,30,30,4,0
31/10/2019,(Hostel) MINDSVille @ Napiri,60,50,15,10
30/11/2019,(Hostel) THK Home for the Disabled @ Eunos,40,42,22,-2
30/11/2019,(Hostel) Touch Ubi Hostel,30,29,7,1
31/12/2019,(Hostel) Touch Ubi Hostel,30,29,7,1
28/2/2019,(Hostel) MINDSVille @ Napiri,60,51,15,9
28/2/2019,(Hostel) THK Home for the Disabled @ Eunos,40,39,22,1
31/3/2019,(Hostel) Touch Ubi Hostel,30,30,5,0
31/3/2019,(Hostel) MINDSVille @ Napiri,60,51,16,9
31/3/2019,(Hostel) THK Home for the Disabled @ Eunos,40,40,21,0
30/4/2019,(Hostel) MINDSVille @ Napiri,60,50,17,10
30/4/2019,(Hostel) THK Home for the Disabled @ Eunos,40,42,21,-2
31/5/2019,(Hostel) Touch Ubi Hostel,30,31,4,-1
30/6/2019,(Hostel) THK Home for the Disabled @ Eunos,40,42,22,-2
30/6/2019,(Hostel) Touch Ubi Hostel,30,31,5,-1
31/7/2019,(Hostel) Touch Ubi Hostel,30,31,5,-1
31/7/2019,(Hostel) MINDSVille @ Napiri,60,50,15,10
31/7/2019,(Hostel) THK Home for the Disabled @ Eunos,40,43,20,-3
31/8/2019,(Hostel) Touch Ubi Hostel,30,31,5,-1
31/8/2019,(Hostel) MINDSVille @ Napiri,60,50,14,10
31/8/2019,(Hostel) THK Home for the Disabled @ Eunos,40,43,22,-3
30/9/2019,(Hostel) MINDSVille @ Napiri,60,49,14,11
31/1/2020,(Hostel) Touch Ubi Hostel,30,29,7,1
31/10/2020,(Hostel) THK Home for the Disabled @ Eunos,40,41,26,-1
30/11/2020,(Hostel) THK Home for the Disabled @ Eunos,40,40,27,0
29/2/2020,(Hostel) Touch Ubi Hostel,30,30,6,0
29/2/2020,(Hostel) THK Home for the Disabled @ Eunos,40,42,24,-2
31/3/2020,(Hostel) Touch Ubi Hostel,30,30,6,0
30/4/2020,(Hostel) MINDSVille @ Napiri,60,45,34,15
31/5/2020,(Hostel) THK Home for the Disabled @ Eunos,40,39,23,1
30/6/2020,(Hostel) MINDSVille @ Napiri,60,46,34,14
30/6/2020,(Hostel) THK Home for the Disabled @ Eunos,40,37,23,3
31/7/2020,(Hostel) MINDSVille @ Napiri,60,47,35,13
31/8/2020,(Hostel) THK Home for the Disabled @ Eunos,40,37,23,3
31/8/2020,(Hostel) Touch Ubi Hostel,30,29,6,1
30/9/2020,(Hostel) MINDSVille @ Napiri,60,47,36,13
30/9/2020,(Hostel) THK Home for the Disabled @ Eunos,40,42,23,-2
30/9/2020,(Hostel) Touch Ubi Hostel,30,29,6,1
31/1/2021,(Hostel) Touch Ubi Hostel,30,29,3,1
31/10/2021,(Hostel) MINDSVille @ Napiri,60,48,49,12
31/10/2021,(Hostel) THK Home for the Disabled @ Eunos,40,40,37,0
30/11/2021,(Hostel) Touch Ubi Hostel,30,29,5,1
31/12/2021,(Hostel) MINDSVille @ Napiri,60,48,50,12
28/2/2021,(Hostel) THK Home for the Disabled @ Eunos,40,40,31,0
31/3/2021,(Hostel) Touch Ubi Hostel,30,29,2,1
30/4/2021,(Hostel) MINDSVille @ Napiri,60,50,42,10
30/4/2021,(Hostel) THK Home for the Disabled @ Eunos,40,39,34,1
30/6/2021,(Hostel) THK Home for the Disabled @ Eunos,40,40,35,0
31/7/2021,(Hostel) MINDSVille @ Napiri,60,49,43,11
31/7/2021,(Hostel) THK Home for the Disabled @ Eunos,40,40,34,0
31/7/2021,(Hostel) Touch Ubi Hostel,30,29,5,1
31/8/2021,(Hostel) THK Home for the Disabled @ Eunos,40,40,36,0
30/9/2021,(Hostel) MINDSVille @ Napiri,60,47,47,13
30/9/2021,(Hostel) THK Home for the Disabled @ Eunos,40,40,37,0
31/1/2022,(Hostel) Touch Ubi Hostel,30,29,5,1
31/10/2017,(CGH) MINDSVille @ Napiri,10,8,1,2
30/11/2017,(CGH) MINDSVille @ Napiri,10,8,1,2
31/12/2017,(CGH) MINDSVille @ Napiri,10,8,1,2
31/7/2017,(CGH) MINDSVille @ Napiri,10,7,3,3
31/8/2017,(CGH) MINDSVille @ Napiri,10,7,2,3
30/9/2017,(CGH) MINDSVille @ Napiri,10,7,2,3
31/1/2018,(CGH) MINDSVille @ Napiri,10,8,1,2
31/12/2018,(CGH) MINDSVille @ Napiri,10,8,3,2
28/2/2018,(CGH) MINDSVille @ Napiri,10,8,2,2
31/3/2018,(CGH) MINDSVille @ Napiri,10,8,2,2
31/8/2018,(CGH) MINDSVille @ Napiri,10,8,4,2
31/10/2019,(CGH) MINDSVille @ Napiri,10,8,7,2
31/3/2019,(CGH) MINDSVille @ Napiri,10,8,5,2
30/4/2019,(CGH) MINDSVille @ Napiri,10,8,5,2
31/5/2019,(CGH) MINDSVille @ Napiri,10,8,5,2
31/10/2020,(CGH) MINDSVille @ Napiri,10,8,8,2
31/12/2020,(CGH) MINDSVille @ Napiri,10,8,8,2
30/4/2020,(CGH) MINDSVille @ Napiri,10,8,7,2
31/7/2020,(CGH) MINDSVille @ Napiri,10,8,8,2
31/8/2020,(CGH) MINDSVille @ Napiri,10,8,8,2
30/9/2020,(CGH) MINDSVille @ Napiri,10,8,8,2
28/2/2021,(CGH) MINDSVille @ Napiri,10,8,8,2
31/3/2021,(CGH) MINDSVille @ Napiri,10,8,8,2
30/4/2021,(CGH) MINDSVille @ Napiri,10,8,8,2
30/11/2017,(DAC) Bishan Home for the Intellectually Disabled,50,26,0,24
30/11/2017,(DAC) Blue Cross Thong Kheng ASD Day Activity Centre,62,1,16,61
30/11/2017,(DAC) Red Cross Day Activity Centre,50,12,4,38
30/11/2017,(DAC) Blue Cross Thong Kheng Home,50,33,4,17
30/11/2017,(DAC) Metta Home @ Woodlands,50,32,0,18
